"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
20, 8.940600156780000e-01, -1.440916392228702e-02, 7.319105348647877e+05, -1.324222347598462e+06, 4.404813287630601e+06, 5.782543391241392e+03, 0.000000000000000e+00, 0.000000000000000e+00, 6.045694146246697e+06
21, 8.841500282290000e-01, -1.566269158090452e-02, -3.548966780424674e+05, -3.741437224361110e+04, -1.951499467445666e+06, 2.158703442411549e+03, 0.000000000000000e+00, 0.000000000000000e+00, 2.818023571857166e+06
22, 8.738499879840000e-01, -1.694956337677533e-02, -3.505555955406629e+05, -2.794457313308330e+04, -2.430203016104927e+06, 2.543364115963404e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.813720913204415e+06
23, 8.631799817090000e-01, -1.826569132102762e-02, -2.515074850247430e+05, 4.595919634103347e+05, -3.833644263930295e+06, 9.067301526265800e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.199939326428293e+06
24, 8.521599769590000e-01, -1.960709133914372e-02, -2.435345398963362e+05, 4.982910345980246e+05, -4.262898597704827e+06, 1.992966689221134e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.017653952951284e+06
25, 8.407700061800000e-01, -2.097463226217677e-02, -7.954548472426882e+05, -4.762811608296868e+04, -7.619749935873231e+04, 4.545159394299679e+02, 0.000000000000000e+00, 0.000000000000000e+00, -2.564037322164681e+06
26, 8.290500044819999e-01, -2.236196298315981e-02, -8.487468973762324e+05, -2.923710172405481e+04, -1.184695910216043e+05, 3.527239955189353e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.342758954112944e+04
27, 8.170099854470000e-01, -2.376642068849115e-02, -9.205281728106102e+05, -3.241077781588578e+03, -2.644890244641084e+05, 2.824022776124993e+02, 0.000000000000000e+00, 0.000000000000000e+00, -1.405714076528211e+04
28, 8.046399950980000e-01, -2.518763605296113e-02, -8.866032289337876e+05, 1.444788108756715e+04, -4.744027244491247e+05, 3.295761443731933e+02, 0.000000000000000e+00, 0.000000000000000e+00, 3.030026133562778e+06
29, 7.919700145720000e-01, -2.662062628442961e-02, -4.672371762220041e+05, 5.410901852769766e+05, -6.590607154206296e+05, -3.436408742408830e+03, 0.000000000000000e+00, 0.000000000000000e+00, 3.124697236778339e+06
30, 7.790099978450000e-01, -2.806276676215449e-02, -9.993365790853796e+05, 5.934121793748139e+05, -6.097670725973431e+05, -3.856800081862882e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.689513832428432e+06
